foret,numero,code_essence,zone_h,x,y,lng,dm,lac
50001,140,37,30N,707765,723261,1300,75,
50001,141,37,30N,707840,723327,650,57,
50001,142,37,30N,219019,581119,1100,57,
50001,143,37,30N,212495,576360,700,62,O
50001,144,37,30N,221208,576482,850,60,
50001,145,37,30N,221182,576393,1200,40,O
50001,146,32,30N,212771,577646,1200,50,O
50001,147,30,30N,217143,578609,1270,62,O
50001,148,30,30N,217180,578681,1140,61,
50001,149,28,30N,167888,439269,1350,50,
50001,150,27,30N,218374,581082,1100,60,
50001,151,27,30N,693175,728340,600,60,
50001,152,27,29N,219240,580442,950,80,
50001,153,27,29N,219316,580424,950,72,
50001,154,27,30N,219382,580809,1100,58,
50001,155,27,30N,219347,581040,1000,59,
50001,156,27,30N,219235,581093,1100,58,
50001,157,27,30N,219063,581138,1230,90,
50001,158,27,30N,167847,439212,1500,57,O
50001,159,27,30N,221048,576657,600,90,O
50001,160,27,30N,221187,576453,900,100,O
50001,161,25,30N,218588,581764,1500,50,
50001,162,25,30N,219355,580684,1300,50,
50001,163,25,30N,212469,576208,1280,50,
50001,164,24,29N,219357,580461,1400,55,
50001,165,24,29N,219297,580432,1400,46,
50001,166,24,29N,219308,580481,1500,57,
50001,167,23,30N,218745,582297,1500,57,O
50001,168,23,30N,217104,578525,1030,52,
50001,169,23,30N,217231,578595,1060,63,
50001,170,23,30N,218430,581439,1460,55,
50001,171,23,30N,218400,581509,800,57,
50001,172,23,29N,707761,723282,1480,67,
50001,173,23,29N,707738,723316,1400,47,
50001,174,23,30N,219405,581109,1170,60,
50001,175,23,30N,219359,580691,1300,67,
50001,176,23,30N,220474,577043,1400,67,
50001,177,23,30N,220208,577608,600,60,O
50001,178,23,30N,212190,576509,1400,60,O
50001,179,23,30N,221104,576467,1250,40,
50001,180,23,30N,215603,576103,1100,70,O
50001,181,23,30N,167869,732065,1280,60,O
50001,182,19,30N,217239,578573,930,105,O
50001,183,19,30N,217107,578558,970,133,
50001,184,19,30N,217123,578530,1400,80,O
50001,185,19,30N,217107,578658,1300,60,
50001,186,19,30N,217218,578585,1300,55,O
50001,187,19,30N,216761,578242,1200,76,
50001,188,19,30N,217187,578597,1260,55,O
50001,189,19,30N,218855,582291,1200,76,O
50001,190,19,30N,218863,582297,1160,76,
50001,191,19,30N,218888,582301,1100,60,
50001,192,19,30N,218744,582297,1200,80,
50001,193,19,30N,217108,578658,900,50,
50001,194,19,30N,218488,581503,1100,52,
50001,195,19,30N,218380,581098,1380,80,
50001,196,19,30N,218687,581795,1200,104,
50001,197,19,30N,218595,581897,1180,112,
50001,198,19,30N,219673,578987,1080,100,
50001,199,19,30N,219685,579663,400,60,
50001,200,19,30N,219657,579814,1080,76,
50001,201,19,30N,219198,580432,700,76,
50001,202,19,30N,219677,579816,1300,55,
50001,203,19,30N,213817,577155,1170,76,
50001,204,19,30N,213905,577209,570,76,
50001,205,19,30N,213918,577281,500,105,
50001,206,19,30N,694012,728826,600,60,
50001,207,19,30N,694086,728876,1500,76,
50001,208,19,30N,694137,728883,1500,76,
50001,209,19,29N,695244,728255,1000,80,
50001,210,19,29N,708712,719188,1150,100,
50001,211,19,29N,219066,581753,1000,110,
50001,212,19,30N,219361,581297,980,90,
50001,213,19,30N,219371,580337,1380,50,
50001,214,19,30N,219187,580413,1270,76,
50001,215,19,30N,219509,580894,1470,76,
50001,216,19,30N,219328,580907,1470,50,
50001,217,19,30N,219206,581025,1460,76,
50001,218,19,30N,219318,581066,1080,77,
50001,219,19,30N,219299,581085,1400,55,O
50001,220,19,30N,219416,581131,800,90,
50001,221,19,30N,219297,581081,1150,102,
50001,222,19,30N,219301,581122,980,130,
50001,223,19,30N,219266,581138,1100,118,
50001,224,19,30N,217258,578555,930,100,
50001,225,19,30N,217260,578553,1470,84,
50001,226,19,30N,219333,581092,1000,120,
50001,227,19,30N,219309,580480,950,124,
50001,228,19,30N,219311,580444,1200,76,
50001,229,19,30N,219030,581189,1180,115,
50001,230,19,30N,219087,581232,1000,90,
50001,231,19,30N,219095,581207,1000,120,O
50001,232,19,30N,219051,581128,1040,105,O
50001,233,19,30N,219041,581119,1080,70,O
