foret,numero,code_essence,zone_h,x,y,lng,dm,lac
10001,,992,30N,219381,581166,1000,57,O
10001,,992,30N,220013,577869,950,50,O
10001,,991,30N,219209,580397,1300,65,
10001,,991,29N,695548,728122,850,76,
10001,,991,29N,695560,727991,1400,77,
10001,,991,29N,219381,580440,1400,74,
10001,,991,29N,219379,580465,1000,75,
10001,,991,29N,219388,580418,1050,65,
10001,,991,30N,212489,576388,1300,62,
10001,,991,30N,221098,576447,1450,50,
10001,,991,30N,215597,576100,1000,69,O
10001,,991,30N,167865,439295,1400,72,O
10001,,991,30N,221200,576475,1370,50,O
10001,,987,29N,217188,578597,950,57,
10001,,987,30N,212283,576980,1100,50,O
10001,,986,30N,217108,578360,1360,55,
10001,,986,30N,212325,576070,1090,120,
10001,,985,30N,221789,577498,1070,60,O
10001,,985,30N,221108,576498,1450,50,O
10001,,969,30N,219664,579819,1270,50,
10001,,969,30N,167882,439289,750,57,
10001,,52,30N,217124,578531,1500,94,
10001,,52,29N,707828,723396,850,59,O
10001,,52,29N,707758,723294,1100,57,O
10001,,52,29N,707647,723486,900,45,
10001,,45,30N,218411,581533,1280,57,
10001,,44,30N,217219,578585,1480,60,
10001,,44,30N,217240,578374,1400,45,
10001,,44,30N,217109,578566,1260,71,
10001,,44,30N,217131,578595,1480,61,
10001,,44,30N,217209,578631,1350,56,
10001,,44,30N,217244,578587,1060,65,O
10001,,44,30N,217187,578599,1000,51,
10001,,44,30N,218401,581105,1300,57,
10001,,44,30N,213833,577165,1400,50,
10001,,44,30N,707779,723378,1430,50,
10001,,44,30N,707821,723339,1370,50,
10001,,44,30N,219289,580902,1200,65,O
10001,,44,30N,219206,580825,1200,45,O
10001,,44,30N,219375,581095,1400,40,O
10001,,44,30N,219387,581107,1000,57,O
10001,,44,30N,217220,578587,1200,57,
10001,,44,30N,217114,578542,1480,57,
10001,,44,30N,219084,581148,1250,57,
10001,,44,30N,219089,581140,960,84,
10001,,44,30N,219341,581303,1250,40,
10001,,44,30N,219428,580394,1200,57,
10001,,44,30N,219386,580350,1200,60,O
10001,,44,30N,219366,580152,1060,74,O
10001,,44,30N,221873,577480,1100,40,O
10001,,44,30N,220069,577546,1470,57,O
10001,,44,30N,220195,577591,1170,60,
10001,,44,30N,220554,577576,1260,72,
10001,,44,30N,220074,577581,1300,62,O
10001,,44,30N,220085,577691,1460,58,O
10001,,44,30N,212125,576385,1200,57,
10001,,44,30N,212345,576066,1340,60,
10001,,44,30N,212615,576444,1480,62,O
10001,,44,30N,212635,576448,1000,70,O
10001,,44,30N,212674,576461,1370,50,O
10001,,44,30N,212600,576300,1170,40,O
10001,,44,30N,212350,576108,1460,57,O
10001,,44,30N,212105,576435,1500,57,O
10001,,44,30N,212109,576461,1100,58,O
10001,,44,30N,212056,576379,1500,57,
10001,,44,30N,212053,576380,1470,57,
10001,,44,30N,212048,576369,1500,58,O
10001,,44,30N,212088,576398,1100,60,O
10001,,44,30N,211427,576224,1100,58,
10001,,44,30N,211341,576303,1200,60,
10001,,44,30N,212119,576487,1400,50,O
10001,,44,30N,212801,577667,1500,50,
10001,,44,30N,215518,576074,870,80,
10001,,44,30N,167890,439206,800,50,O
10001,,44,30N,167842,439100,1180,60,
10001,,42,30N,694095,728785,1500,50,
10001,,42,29N,219198,580498,950,58,
10001,,42,30N,212059,576372,1500,75,
10001,,39,29N,707629,723489,1100,57,O
10001,,39,30N,167888,439210,1400,50,
10001,,39,30N,221038,576647,1400,50,
10001,,37,30N,218501,581607,1300,50,
10001,,37,30N,707765,723261,1300,75,
10001,,37,30N,707840,723327,650,57,
10001,,37,30N,219019,581119,1100,57,
10001,,37,30N,212495,576360,700,62,O
10001,,37,30N,221208,576482,850,60,
10001,,37,30N,221182,576393,1200,40,O
10001,,32,30N,212771,577646,1200,50,O
10001,,30,30N,217143,578609,1270,62,O
10001,,30,30N,217180,578681,1140,61,
10001,,28,30N,167888,439269,1350,50,
10001,,27,30N,218374,581082,1100,60,
10001,,27,30N,693175,728340,600,60,
10001,,27,29N,219240,580442,950,80,
10001,,27,29N,219316,580424,950,72,
10001,,27,30N,219382,580809,1100,58,
10001,,27,30N,219347,581040,1000,59,
10001,,27,30N,219235,581093,1100,58,
10001,,27,30N,219063,581138,1230,90,
10001,,27,30N,167847,439212,1500,57,O
10001,,27,30N,221048,576657,600,90,O
10001,,27,30N,221187,576453,900,100,O
10001,,25,30N,218588,581764,1500,50,
10001,,25,30N,219355,580684,1300,50,
10001,,25,30N,212469,576208,1280,50,
10001,,24,29N,219357,580461,1400,55,
10001,,24,29N,219297,580432,1400,46,
10001,,24,29N,219308,580481,1500,57,
10001,,23,30N,218745,582297,1500,57,O
10001,,23,30N,217104,578525,1030,52,
10001,,23,30N,217231,578595,1060,63,
10001,,23,30N,218430,581439,1460,55,
10001,,23,30N,218400,581509,800,57,
10001,,23,29N,707761,723282,1480,67,
10001,,23,29N,707738,723316,1400,47,
10001,,23,30N,219405,581109,1170,60,
10001,,23,30N,219359,580691,1300,67,
10001,,23,30N,220474,577043,1400,67,
10001,,23,30N,220208,577608,600,60,O
10001,,23,30N,212190,576509,1400,60,O
10001,,23,30N,221104,576467,1250,40,
10001,,23,30N,215603,576103,1100,70,O
10001,,23,30N,167869,732065,1280,60,O
10001,,19,30N,217239,578573,930,105,O
