foret,numero,code_essence,zone_h,x,y,lng,dm,lac
10530,609048,16,29N,567422,812474,1500,52,O
10530,609049,16,29N,567278,812376,900,40,O
10530,609050,16,29N,713975,771196,1040,60,O
10530,609051,16,29N,713589,771278,1160,55,
10530,609052,16,29N,713589,771278,1000,45,
10530,609053,16,29N,577806,813430,1400,50,
10530,609054,16,29N,577869,813757,1500,54,
10530,609055,16,29N,577648,813443,1500,50,
10530,609056,16,29N,577825,813459,1400,50,
10530,609057,16,29N,577428,813685,1300,55,
10530,609058,16,29N,577428,813685,1300,55,
10530,609059,16,29N,567572,812702,1500,50,
10530,609060,16,29N,567284,812573,1500,54,
10530,609061,16,29N,567302,812550,1500,50,
10530,609062,16,29N,627067,795110,1420,60,O
10530,609063,16,29N,627067,795110,1470,51,O
10530,609064,16,30N,493731,829282,1200,58,
10530,609065,16,29N,742595,758238,1000,52,
10530,609066,16,29N,742532,758243,1050,50,
10530,609067,16,29N,742613,758336,1200,52,
10530,609068,16,29N,742536,758360,900,50,
10530,609069,16,30N,459117,719637,1500,50,
10530,609070,16,30N,459114,719647,1500,50,
10530,609071,16,30N,459133,719250,1240,50,
10530,609072,18,30N,378741,647819,1160,58,O
10530,609073,18,30N,235735,675511,700,70,
10530,609074,18,29N,740728,762867,850,65,
10530,609075,19,30N,583560,607238,1360,100,O
10530,609076,19,30N,360774,675620,1050,94,
10530,609077,19,30N,360754,674557,1500,70,
10530,609078,19,30N,362145,673526,1300,70,O
10530,609079,19,30N,361041,674093,1000,105,O
10530,609080,19,30N,361041,674093,1150,90,O
10530,609081,19,30N,360124,674302,1300,96,O
10530,609082,19,30N,360068,674288,1000,130,O
10530,609083,19,30N,360068,674288,970,100,O
10530,609084,19,30N,360124,674302,1100,75,O
10530,609085,19,30N,583425,607122,1000,105,O
10530,609086,19,30N,583450,607255,1300,100,O
10530,609087,19,30N,583512,607060,1030,70,O
10530,609088,19,30N,583360,607238,1360,100,O
10530,609089,19,30N,583512,607060,1300,90,O
10530,609090,19,30N,583620,607118,1300,84,O
10530,609091,19,30N,360229,674331,980,98,O
10530,609092,19,30N,360229,674331,960,85,O
10530,609093,19,30N,360248,674331,1000,125,O
10530,609094,19,30N,360103,674245,1100,114,O
10530,609095,19,30N,360103,674245,800,99,O
10530,609096,19,30N,360253,674329,1200,91,O
10530,609097,19,30N,583526,607223,1000,100,O
10530,609098,19,30N,583651,607356,830,99,O
10530,609099,19,30N,583714,607561,1350,87,O
10530,609100,19,30N,583913,607842,1270,86,O
10530,609101,19,30N,583029,607020,940,103,O
10530,609102,19,30N,583150,606436,1200,69,O
