foret,numero,code_essence,zone_h,x,y,lng,dm,lac
10530,ILOMBA,15,29N,627213,794979,1180,75,
10530,ILOMBA,15,29N,627158,794981,1420,88,
10530,ILOMBA,15,29N,627172,794967,1500,60,
10530,ILOMBA,15,29N,627158,794981,1070,60,O
10530,ILOMBA,15,29N,725276,757112,600,70,
10530,ILOMBA,15,29N,725298,757295,500,70,
10530,ILOMBA,15,29N,725455,757108,100,72,
10530,ILOMBA,15,29N,741551,759967,850,56,
10530,FRAKE (LIMBA),16,29N,567323,812351,1400,52,O
10530,FRAKE (LIMBA),16,29N,567278,812376,1500,50,O
10530,FRAKE (LIMBA),16,29N,578176,813792,1300,50,O
10530,FRAKE (LIMBA),16,29N,578632,813851,640,50,O
10530,FRAKE (LIMBA),16,29N,578535,813837,1400,56,O
10530,FRAKE (LIMBA),16,29N,567458,812363,1500,50,O
10530,FRAKE (LIMBA),16,29N,567458,812363,1300,40,O
10530,FRAKE (LIMBA),16,29N,567424,812361,1500,58,O
10530,FRAKE (LIMBA),16,29N,567424,812361,800,48,O
10530,FRAKE (LIMBA),16,29N,567422,812474,1500,52,O
10530,FRAKE (LIMBA),16,29N,567278,812376,900,40,O
10530,FRAKE (LIMBA),16,29N,713975,771196,1040,60,O
10530,FRAKE (LIMBA),16,29N,713589,771278,1160,55,
10530,FRAKE (LIMBA),16,29N,713589,771278,1000,45,
10530,FRAKE (LIMBA),16,29N,577806,813430,1400,50,
10530,FRAKE (LIMBA),16,29N,577869,813757,1500,54,
10530,FRAKE (LIMBA),16,29N,577648,813443,1500,50,
10530,FRAKE (LIMBA),16,29N,577825,813459,1400,50,
10530,FRAKE (LIMBA),16,29N,577428,813685,1300,55,
10530,FRAKE (LIMBA),16,29N,577428,813685,1300,55,
10530,FRAKE (LIMBA),16,29N,567572,812702,1500,50,
10530,FRAKE (LIMBA),16,29N,567284,812573,1500,54,
10530,FRAKE (LIMBA),16,29N,567302,812550,1500,50,
10530,FRAKE (LIMBA),16,29N,627067,795110,1420,60,O
10530,FRAKE (LIMBA),16,29N,627067,795110,1470,51,O
10530,FRAKE (LIMBA),16,30N,493731,829282,1200,58,
10530,FRAKE (LIMBA),16,29N,742595,758238,1000,52,
10530,FRAKE (LIMBA),16,29N,742532,758243,1050,50,
10530,FRAKE (LIMBA),16,29N,742613,758336,1200,52,
10530,FRAKE (LIMBA),16,29N,742536,758360,900,50,
10530,FRAKE (LIMBA),16,30N,459117,719637,1500,50,
10530,FRAKE (LIMBA),16,30N,459114,719647,1500,50,
10530,FRAKE (LIMBA),16,30N,459133,719250,1240,50,
10530,EHO-AKPI-ESSESSANG,18,30N,378741,647819,1160,58,O
10530,EHO-AKPI-ESSESSANG,18,30N,235735,675511,700,70,
10530,EHO-AKPI-ESSESSANG,18,29N,740728,762867,850,65,
10530,FROMAGER,19,30N,583560,607238,1360,100,O
10530,FROMAGER,19,30N,360774,675620,1050,94,
10530,FROMAGER,19,30N,360754,674557,1500,70,
10530,FROMAGER,19,30N,362145,673526,1300,70,O
10530,FROMAGER,19,30N,361041,674093,1000,105,O
10530,FROMAGER,19,30N,361041,674093,1150,90,O
10530,FROMAGER,19,30N,360124,674302,1300,96,O
10530,FROMAGER,19,30N,360068,674288,1000,130,O
